Especie  	Kilos	Descarte	Desc.%	Lances	Días	Horas		Área	Kilos	Descarte	Desc.%	Lances	Días	Horas		Especie  	Producto	Kilos	Factor
Lithodes santolla                  	45,00	45,00	100	3	2	13		4460	39.673,00	10.245,31	25,82	6	3	23,2		Genypterus blacodes                	 S/CAB,S/VISC (HYG)         	4.823,00	1,81
Munida                             	250,00	250,00	100	3	2	10,53		4461	4.975,00	1.974,88	39,7	1	1	2,35		Salilota australis                 	 S/CAB,S/VISC (HYG)         	17,00	1,73
Peltarion                          	75,00	75,00	100	5	4	21,45		4560	182.982,00	41.716,66	22,8	19	8	73,3		Sebastes oculatus                  	 ENTERO                    	10,00	1
Zygochlamys patagonica             	1.190,00	1.190,00	100	13	11	52,44		4561	72.633,00	16.680,44	22,97	10	5	40,1		Sebastes oculatus                  	 S/CAB,S/VISC (HYG)         	277,00	1,73
Dorytheuthis                       	378,00	378,00	100	6	5	20,5		4661	120.692,80	37.938,76	31,43	10	8	42,44		Illex argentinus                   	 ENTERO                    	487.698,00	1
Illex argentinus                   	491.520,63	3.150,58	0,64	112	35	431,5		4761	356.574,00	108.470,29	30,42	30	18	100,55		Merluccius hubbsi                  	 CHORIZO                   	9.690,00	3,59
Ascidiacea                         	2.955,00	2.955,00	100	29	15	112,48		4762	466.738,63	125.898,58	26,97	37	19	153,26		Merluccius hubbsi                  	 FILET                     	168,00	3,59
Squalus acanthias                  	7.339,00	7.339,00	100	74	33	285,36										Merluccius hubbsi                  	 FILET S/P,S/E,S/G,S/P      	31.514,00	3,59
Schroederichthys sp.               	4.507,00	4.507,00	100	54	29	207,33										Merluccius hubbsi                  	 FILET S/PIEL,S/GRASA        	14.041,00	3,59
Carcharhinus acronotus             	150,00	150,00	100	1	1	4,25										Merluccius hubbsi                  	 S/CAB,S/COLA (TRONCO)         	2.967,00	2,09
Bathyraja sp                       	1.450,00	1.450,00	100	17	16	67										Merluccius hubbsi                  	 S/CAB,S/VISC (HYG)         	94.512,20	2,09
Psammobatis sp                     	120,00	120,00	100	2	2	8,45										Stromateus brasiliensis            	 ENTERO                    	69,40	1
Salilota australis                 	310,00	280,00	90,32	3	2	11,35													
Merluccius hubbsi                  	491.738,00	88.298,94	17,96	113	35	436,4													
Sebastes oculatus                  	3.298,00	2.807,00	85,11	41	22	161,36													
Congiopodus peruvianus             	12.123,00	12.123,00	100	85	35	328,35													
Psychrolutes  marmoratus           	30,00	30,00	100	2	1	8,35													
Parona signata                     	30,00	30,00	100	2	1	8,3													
Cottoperca gobio                   	345,00	345,00	100	14	11	57,05													
Notothenia sp.                     	30.197,00	30.197,00	100	107	35	416,45													
Stromateus brasiliensis            	6.287,80	6.217,40	98,88	80	34	314,39													
Genypterus blacodes                	10.480,00	1.537,00	14,67	93	34	360,3													
Organismos no identificados        	179.450,00	179.450,00	100	104	35	399,35													
Totales	1.244.268,43	342.924,92	2007,58	963	400	3735,94													
 	1.244.268,43	342.924,92	27,5604	113	35														
