
Buque  ; marea  ; lan ; fecha ; latitud ; longitud
GEMINIS              ;   3 ;   1 ; 08/01/2023  ;         -44,1500 ;         -60,7833 ; X
GEMINIS              ;   3 ;   2 ; 08/01/2023  ;         -44,5500 ;         -60,9667 ; X
GEMINIS              ;   3 ;   3 ; 08/01/2023  ;         -44,9333 ;         -61,0167 ; X
GEMINIS              ;   3 ;   4 ; 08/01/2023  ;         -45,0833 ;         -61,3500 ; X
GEMINIS              ;   3 ;   5 ; 09/01/2023  ;         -45,1500 ;         -61,8667 ; X
GEMINIS              ;   3 ;   6 ; 09/01/2023  ;         -45,5667 ;         -61,8683 ; X
GEMINIS              ;   3 ;   7 ; 09/01/2023  ;         -45,9000 ;         -61,8500 ; X
GEMINIS              ;   3 ;   8 ; 10/01/2023  ;         -45,2333 ;         -61,8500 ; X
GEMINIS              ;   3 ;   9 ; 10/01/2023  ;         -45,5500 ;         -61,8500 ; X
GEMINIS              ;   3 ;  10 ; 10/01/2023  ;         -45,6000 ;         -61,8500 ; X
GEMINIS              ;   3 ;  11 ; 11/01/2023  ;         -45,1500 ;         -60,5667 ; X
GEMINIS              ;   3 ;  12 ; 11/01/2023  ;         -45,0333 ;         -60,5167 ; X
GEMINIS              ;   3 ;  13 ; 11/01/2023  ;         -45,3000 ;         -60,7000 ; X
GEMINIS              ;   3 ;  14 ; 11/01/2023  ;         -45,0500 ;         -60,5833 ; X
GEMINIS              ;   3 ;  15 ; 12/01/2023  ;         -45,4167 ;         -60,7167 ; X
GEMINIS              ;   3 ;  16 ; 12/01/2023  ;         -45,2667 ;         -60,6667 ; X
GEMINIS              ;   3 ;  17 ; 12/01/2023  ;         -45,6000 ;         -60,8333 ; X
GEMINIS              ;   3 ;  18 ; 13/01/2023  ;         -45,3333 ;         -60,6667 ; X
GEMINIS              ;   3 ;  19 ; 13/01/2023  ;         -45,6667 ;         -60,8500 ; X
GEMINIS              ;   3 ;  20 ; 13/01/2023  ;         -45,4667 ;         -60,7333 ; X
GEMINIS              ;   3 ;  21 ; 14/01/2023  ;         -47,1000 ;         -62,3167 ; X
GEMINIS              ;   3 ;  22 ; 14/01/2023  ;         -47,1167 ;         -62,8500 ; X
GEMINIS              ;   3 ;  23 ; 14/01/2023  ;         -47,3167 ;         -62,8333 ; X
GEMINIS              ;   3 ;  24 ; 15/01/2023  ;         -46,2833 ;         -61,2000 ; X
GEMINIS              ;   3 ;  25 ; 15/01/2023  ;         -45,9333 ;         -61,1000 ; X
GEMINIS              ;   3 ;  26 ; 15/01/2023  ;         -45,8000 ;         -60,8167 ; X
GEMINIS              ;   3 ;  27 ; 16/01/2023  ;         -46,1667 ;         -61,8500 ; X
GEMINIS              ;   3 ;  28 ; 16/01/2023  ;         -45,7500 ;         -61,8500 ; X
GEMINIS              ;   3 ;  29 ; 16/01/2023  ;         -45,9000 ;         -61,5667 ; X
GEMINIS              ;   3 ;  30 ; 17/01/2023  ;         -45,0167 ;         -60,5333 ; X
GEMINIS              ;   3 ;  31 ; 17/01/2023  ;         -45,2333 ;         -60,5833 ; X
GEMINIS              ;   3 ;  32 ; 17/01/2023  ;         -45,0000 ;         -60,5667 ; X
GEMINIS              ;   3 ;  33 ; 18/01/2023  ;         -44,8333 ;         -60,4000 ; X
GEMINIS              ;   3 ;  34 ; 18/01/2023  ;         -45,1167 ;         -60,4667 ; X
GEMINIS              ;   3 ;  35 ; 18/01/2023  ;         -44,8000 ;         -60,4000 ; X
GEMINIS              ;   3 ;  36 ; 19/01/2023  ;         -45,0500 ;         -60,3667 ; X
GEMINIS              ;   3 ;  37 ; 19/01/2023  ;         -44,7167 ;         -60,3167 ; X
GEMINIS              ;   3 ;  38 ; 19/01/2023  ;         -44,9167 ;         -60,2500 ; X
GEMINIS              ;   3 ;  39 ; 20/01/2023  ;         -46,3333 ;         -61,8500 ; X
GEMINIS              ;   3 ;  40 ; 20/01/2023  ;         -46,6000 ;         -61,8500 ; X
GEMINIS              ;   3 ;  41 ; 20/01/2023  ;         -46,1833 ;         -61,8500 ; X
GEMINIS              ;   3 ;  42 ; 21/01/2023  ;         -47,1167 ;         -62,5500 ; X
GEMINIS              ;   3 ;  43 ; 21/01/2023  ;         -47,0833 ;         -61,8833 ; X
GEMINIS              ;   3 ;  44 ; 21/01/2023  ;         -46,9500 ;         -61,8500 ; X
GEMINIS              ;   3 ;  45 ; 22/01/2023  ;         -47,2667 ;         -61,9000 ; X
