Buque  , marea  , lan , fecha , latitud , longitud
FEDERICO C           ,  156 ,   1 , 02/09/2025  ,         -43.2900 ,         -62.9717 , X
FEDERICO C           ,  156 ,   2 , 02/09/2025  ,         -43.3450 ,         -62.9600 , X
FEDERICO C           ,  156 ,   3 , 02/09/2025  ,         -43.3050 ,         -62.9800 , X
FEDERICO C           ,  156 ,   4 , 02/09/2025  ,         -43.4250 ,         -62.9667 , X
FEDERICO C           ,  156 ,   5 , 02/09/2025  ,         -43.4500 ,         -62.9700 , X
FEDERICO C           ,  156 ,   6 , 02/09/2025  ,         -43.3667 ,         -62.8917 , X
FEDERICO C           ,  156 ,   7 , 03/09/2025  ,         -43.4000 ,         -62.3217 , X
FEDERICO C           ,  156 ,   8 , 03/09/2025  ,         -43.3283 ,         -62.3217 , X
FEDERICO C           ,  156 ,   9 , 04/09/2025  ,         -43.7700 ,         -61.6917 , X
FEDERICO C           ,  156 ,  10 , 04/09/2025  ,         -43.6933 ,         -61.7317 , X
FEDERICO C           ,  156 ,  11 , 04/09/2025  ,         -43.6417 ,         -61.7367 , X
FEDERICO C           ,  156 ,  12 , 04/09/2025  ,         -43.7033 ,         -61.7250 , X
FEDERICO C           ,  156 ,  13 , 04/09/2025  ,         -43.6017 ,         -61.7283 , X
FEDERICO C           ,  156 ,  14 , 05/09/2025  ,         -43.6167 ,         -61.6417 , X
FEDERICO C           ,  156 ,  15 , 05/09/2025  ,         -43.5717 ,         -61.6483 , X
FEDERICO C           ,  156 ,  16 , 05/09/2025  ,         -43.5733 ,         -61.6517 , X
FEDERICO C           ,  156 ,  17 , 05/09/2025  ,         -43.6417 ,         -61.6617 , X
FEDERICO C           ,  156 ,  18 , 06/09/2025  ,         -43.6217 ,         -62.0067 , X
FEDERICO C           ,  156 ,  19 , 06/09/2025  ,         -43.5333 ,         -62.0283 , X
FEDERICO C           ,  156 ,  20 , 06/09/2025  ,         -43.5250 ,         -62.0583 , X
FEDERICO C           ,  156 ,  21 , 06/09/2025  ,         -43.5017 ,         -62.0933 , X
FEDERICO C           ,  156 ,  22 , 06/09/2025  ,         -43.6400 ,         -62.0900 , X
FEDERICO C           ,  156 ,  23 , 07/09/2025  ,         -43.2967 ,         -62.0533 , X
FEDERICO C           ,  156 ,  24 , 07/09/2025  ,         -43.3417 ,         -62.0600 , X
FEDERICO C           ,  156 ,  25 , 07/09/2025  ,         -43.2800 ,         -62.0550 , X
FEDERICO C           ,  156 ,  26 , 07/09/2025  ,         -43.5017 ,         -62.1200 , X
FEDERICO C           ,  156 ,  27 , 07/09/2025  ,         -43.5000 ,         -62.1367 , X
FEDERICO C           ,  156 ,  28 , 07/09/2025  ,         -43.5033 ,         -62.1333 , X
FEDERICO C           ,  156 ,  29 , 08/09/2025  ,         -43.5617 ,         -62.2533 , X
FEDERICO C           ,  156 ,  30 , 08/09/2025  ,         -43.6033 ,         -62.2633 , X
FEDERICO C           ,  156 ,  31 , 08/09/2025  ,         -43.5567 ,         -62.2517 , X
FEDERICO C           ,  156 ,  32 , 08/09/2025  ,         -43.5867 ,         -62.3283 , X
FEDERICO C           ,  156 ,  33 , 08/09/2025  ,         -43.5967 ,         -62.3517 , X
FEDERICO C           ,  156 ,  34 , 09/09/2025  ,         -43.7000 ,         -62.2667 , X
FEDERICO C           ,  156 ,  35 , 09/09/2025  ,         -43.7000 ,         -62.2683 , X
FEDERICO C           ,  156 ,  36 , 09/09/2025  ,         -43.7033 ,         -62.2550 , X
FEDERICO C           ,  156 ,  37 , 09/09/2025  ,         -43.7233 ,         -62.2517 , X
FEDERICO C           ,  156 ,  38 , 10/09/2025  ,         -42.8200 ,         -61.8233 , X
FEDERICO C           ,  156 ,  39 , 10/09/2025  ,         -42.8667 ,         -61.7950 , X
FEDERICO C           ,  156 ,  40 , 10/09/2025  ,         -42.8033 ,         -61.8283 , X
FEDERICO C           ,  156 ,  41 , 10/09/2025  ,         -42.8700 ,         -61.7883 , X
FEDERICO C           ,  156 ,  42 , 10/09/2025  ,         -42.8600 ,         -61.7967 , X
FEDERICO C           ,  156 ,  43 , 10/09/2025  ,         -42.8633 ,         -61.7967 , X
FEDERICO C           ,  156 ,  44 , 11/09/2025  ,         -42.1833 ,         -61.6833 , X
FEDERICO C           ,  156 ,  45 , 11/09/2025  ,         -42.1117 ,         -61.5367 , X
FEDERICO C           ,  156 ,  46 , 11/09/2025  ,         -42.0917 ,         -61.5117 , X
FEDERICO C           ,  156 ,  47 , 11/09/2025  ,         -42.1683 ,         -61.6367 , X
FEDERICO C           ,  156 ,  48 , 11/09/2025  ,         -42.1767 ,         -61.7133 , X
FEDERICO C           ,  156 ,  49 , 11/09/2025  ,         -42.1833 ,         -61.6500 , X
FEDERICO C           ,  156 ,  50 , 11/09/2025  ,         -42.2000 ,         -61.6450 , X
FEDERICO C           ,  156 ,  51 , 14/09/2025  ,         -43.1933 ,         -62.7900 , X
FEDERICO C           ,  156 ,  52 , 14/09/2025  ,         -43.2683 ,         -62.7717 , X
FEDERICO C           ,  156 ,  53 , 14/09/2025  ,         -43.1600 ,         -62.7733 , X
FEDERICO C           ,  156 ,  54 , 14/09/2025  ,         -43.1717 ,         -62.7750 , X
FEDERICO C           ,  156 ,  55 , 14/09/2025  ,         -43.2600 ,         -62.7667 , X
FEDERICO C           ,  156 ,  56 , 15/09/2025  ,         -43.0667 ,         -62.6500 , X
FEDERICO C           ,  156 ,  57 , 15/09/2025  ,         -43.1267 ,         -62.8500 , X
FEDERICO C           ,  156 ,  58 , 15/09/2025  ,         -43.2333 ,         -62.8883 , X
FEDERICO C           ,  156 ,  59 , 15/09/2025  ,         -43.1917 ,         -62.8967 , X
FEDERICO C           ,  156 ,  60 , 15/09/2025  ,         -43.2483 ,         -62.9083 , X
