
MUESTRAS AGRUPADAS DE UNA ESPECIE            
  7210040101 ; Merluccius hubbsi                  ; Merluza común           

Talla ; MACHOS     ; HEMBRAS     ; INDET  ; TOTAL  
        20 ;          0 ;          5 ;          0 ;          5
        21 ;          0 ;          2 ;          0 ;          2
        22 ;          0 ;          2 ;          0 ;          2
        23 ;          1 ;          1 ;          0 ;          2
        24 ;          0 ;          8 ;          0 ;          8
        25 ;          5 ;         13 ;          0 ;         18
        26 ;          7 ;         28 ;          0 ;         35
        27 ;         11 ;         25 ;          0 ;         36
        28 ;         24 ;         47 ;          0 ;         71
        29 ;         28 ;         41 ;          0 ;         69
        30 ;         24 ;         38 ;          0 ;         62
        31 ;         26 ;         38 ;          0 ;         64
        32 ;         37 ;         40 ;          0 ;         77
        33 ;         20 ;         31 ;          0 ;         51
        34 ;         42 ;         44 ;          0 ;         86
        35 ;         49 ;         48 ;          0 ;         97
        36 ;         56 ;         58 ;          0 ;        114
        37 ;         40 ;         54 ;          0 ;         94
        38 ;         40 ;         68 ;          0 ;        108
        39 ;         55 ;         92 ;          0 ;        147
        40 ;         53 ;         94 ;          0 ;        147
        41 ;         37 ;         78 ;          0 ;        115
        42 ;         46 ;         64 ;          0 ;        110
        43 ;         21 ;         47 ;          0 ;         68
        44 ;         21 ;         97 ;          0 ;        118
        45 ;          7 ;         21 ;          0 ;         28
        46 ;          9 ;         25 ;          0 ;         34
        47 ;          4 ;         35 ;          0 ;         39
        48 ;          0 ;         22 ;          0 ;         22
        49 ;          0 ;          9 ;          0 ;          9
        50 ;          0 ;         16 ;          0 ;         16
        51 ;          0 ;          7 ;          0 ;          7
        52 ;          0 ;          3 ;          0 ;          3
        53 ;          0 ;          7 ;          0 ;          7
        54 ;          0 ;          4 ;          0 ;          4
        55 ;          0 ;          0 ;          0 ;          0
        56 ;          0 ;          3 ;          0 ;          3
        57 ;          0 ;          2 ;          0 ;          2
        58 ;          0 ;          2 ;          0 ;          2
        59 ;          0 ;          5 ;          0 ;          5
        60 ;          0 ;          6 ;          0 ;          6
        61 ;          0 ;          3 ;          0 ;          3
        62 ;          0 ;          2 ;          0 ;          2
        63 ;          0 ;          1 ;          0 ;          1
        64 ;          0 ;          2 ;          0 ;          2
        65 ;          0 ;          1 ;          0 ;          1
        66 ;          0 ;          2 ;          0 ;          2
        67 ;          0 ;          1 ;          0 ;          1
        68 ;          0 ;          0 ;          0 ;          0
        69 ;          0 ;          0 ;          0 ;          0
        70 ;          0 ;          1 ;          0 ;          1
        71 ;          0 ;          3 ;          0 ;          3
        72 ;          0 ;          1 ;          0 ;          1
        73 ;          0 ;          0 ;          0 ;          0
        74 ;          0 ;          0 ;          0 ;          0
        75 ;          0 ;          0 ;          0 ;          0
        76 ;          0 ;          1 ;          0 ;          1

 ; Media  ; Desv.St. ; Porcent. ; Coef.V. ; Suma N   ; Suma X   ; Suma X2   ; %<35  
Machos   ;  36,35 ;    4,94 ;   34,69 ;   13,57 ;        663 ;      24098 ;       877211 ;  33,94
Hembras   ;  38,47 ;    7,71 ;   65,31 ;   20,02 ;       1248 ;      48007 ;      1848173 ;  29,09
Indet. ;   0,00 ;    0,00 ;    0,00 ;    0,00 ;          0 ;          0 ;            0 ;   0,00
Total ;  37,73 ;    6,95 ;  100,00 ;   18,40 ;       1911 ;      72105 ;      2722058 ;  30,77
