"nro","latitud","longitud"
1,-39.56,-58.74
2,-39.33,-59.13
3,-39.45,-59.35
4,-39.52,-59.45
5,-39.39,-54.51
6,-39.35,-54.48
7,-39.33,-54.39
8,-39.28,-54.4
9,-39.4,-54.53
10,-39.39,-54.52
11,-39.43,-54.55
12,-39.45,-54.52
13,-39.4,-54.52
14,-39.39,-54.52
15,-39.46,-54.62
16,-39.53,-54.07
17,-39.48,-54.6
18,-39.39,-54.52
19,-39.4,-54.51
20,-39.45,-54.52
21,-39.38,-54.52
22,-39.33,-54.51
23,-37.08,-53.52
24,-39.44,-54.55
25,-39.39,-54.51
26,-39.33,-54.5
27,-39.27,-54.47
28,-39.49,-54.56
29,-39.39,-54.53
30,-39.39,-54.51
31,-39.33,-54.51
32,-39.27,-54.45
33,-39.24,-54.41
34,-39.42,-54.58
35,-39.39,-54.52
36,-39.46,-54.51
37,-39.31,-54.5
38,-39.33,-54.51
39,-39.28,-54.48
40,-39.41,-54.57
41,-39.39,-54.52
42,-39.4,-54.51
43,-39.32,-54.51
44,-39.31,-54.51
45,-39.36,-54.56
46,-39.41,-54.56
47,-39.39,-54.51
48,-39.39,-54.51
49,-39.31,-54.51
50,-39.31,-54.51
51,-39.42,-54.57
52,-39.41,-54.54
53,-39.39,-54.51
54,-39.39,-54.5
55,-39.31,-54.49
56,-39.36,-54.51
57,-39.44,-54.5
58,-39.42,-54.57
59,-39.39,-54.51
60,-39.56,-54.5
61,-39.39,-54.49
62,-39.52,-54.68
63,-39.53,-54.67
64,-39.53,-54.65
65,-39.51,-54.69
66,-39.5,-54.7
67,-39.5,-54.72
68,-39.48,-54.74
69,-39.51,-54.66
70,-38.47,-53.95
71,-38.42,-53.97
72,-38.77,-53.93
73,-38.3,-53.92
74,-38.25,-53.91
75,-38.21,-53.88
76,-38,-53.99
77,-38,-54
78,-38.05,-53.89
79,-37.9,-53.95
80,-37.99,-53.97
81,-37.99,-54
82,-37.99,-53.99
83,-38.04,-53.89
84,-39.78,-54.95
85,-37.99,-54
86,-39.98,-55.23
87,-38,-53.99
88,-37.99,-53.95
89,-37.21,-53.42
90,-37.21,-53.45
91,-37.19,-53.59
92,-37.19,-53.6
93,-37.19,-53.63
94,-37.21,-53.41
95,-37.22,-53.45
96,-37.27,-53.39
97,-37.21,-53.41
98,-37.22,-53.44
99,-37.26,-53.42
100,-39.92,-55.26
101,-37.28,-53.39
102,-37.22,-53.45
103,-37.21,-53.41
104,-37.25,-53.43
105,-37.27,-53.42
106,-39.56,-54.75
107,-39.45,-54.55
108,-37.21,-53.45
109,-37.24,-53.44
110,-37.21,-53.39
111,-37.21,-53.47
112,-39.01,-54.14
113,-38.9,-54.17
114,-39.97,-54.94
115,-38.28,-53.94
116,-39.85,-55.24
117,-39.86,-54.94
118,-39.75,-54.93
119,-39.32,-54.66
120,-39.35,-54.54
121,-39.33,-54.57
122,-39.4,-54.5
123,-37.14,-53.57
124,-37.11,-53.5
125,-39.23,-55.07
126,-39.23,-55.07
127,-39.22,-55.08
128,-39.22,-55.1
129,-39.22,-55.12
130,-39.22,-55.13
131,-39.22,-55.17
132,-39.2,-55.17
133,-39.27,-55.38
134,-39.28,-55.4
135,-39.12,-55.3
136,-37.16,-53.45
137,-37.08,-53.49
138,-37.24,-53.44
139,-37.05,-53.51
140,-39.9,-54.99
141,-39.32,-54.48
142,-39.3,-54.57
143,-39.38,-54.58
144,-39.35,-54.5
145,-39.32,-54.47
146,-37.09,-53.5
147,-37.04,-53.55
148,-37.1,-53.48
149,-39.92,-55.01
150,-39.4,-54.5
151,-39.4,-54.48
152,-39.38,-54.57
153,-39.37,-54.53
154,-39.48,-54.45
155,-39.32,-54.48
156,-39.28,-54.45
157,-39.38,-54.52
158,-39.4,-54.5
159,-37.04,-53.51
160,-37.16,-53.42
161,-37.07,-53.49
162,-39.88,-55.02
163,-39.38,-54.5
164,-39.38,-54.5
165,-39.2,-54.37
166,-39.13,-54.3
167,-39.17,-54.32
168,-37,-53.51
169,-37.09,-53.55
170,-39.38,-54.5
171,-39.4,-54.5
172,-39.03,-54.3
173,-39.13,-54.27
174,-39.08,-54.3
175,-39.2,-54.33
176,-37.3,-53.46
177,-37.38,-53.44
178,-37.38,-53.51
179,-37.62,-53.7
180,-37.62,-53.68
181,-37.63,-53.67
182,-37.63,-53.65
183,-37.58,-53.6
184,-37.6,-53.7
185,-39.2,-54.37
186,-37.43,-53.52
187,-37.29,-53.46
188,-37.18,-53.6
189,-37.18,-53.58
190,-37.2,-53.57
191,-37.2,-53.52
192,-37.2,-53.48
193,-37.49,-53.58
194,-39.44,-54.77
195,-39.35,-54.64
196,-37.6,-53.72
197,-37.6,-53.7
198,-37.62,-53.68
199,-37.62,-53.67
200,-37.63,-53.65
201,-37.58,-53.6
202,-37.62,-53.7
203,-37.48,-53.57
204,-37.42,-53.51
205,-37.35,-53.48
206,-39.47,-54.62
207,-37.63,-53.68
208,-37.63,-53.63
209,-37.62,-53.68
210,-37.63,-53.67
211,-38.62,-54.13
212,-38.2,-53.98
213,-37.87,-54.32
214,-37.85,-54.32
215,-37.83,-54.33
216,-37.8,-54.33
217,-37.78,-54.35
218,-37.78,-54.37
219,-37.88,-54.3
220,-37.58,-53.62
221,-37.62,-53.7
222,-38.03,-54.16
223,-38.02,-54.16
224,-37.88,-53.93
225,-37.88,-54.28
226,-37.87,-54.2
227,-37.87,-54.18
228,-37.9,-54.32
229,-37.87,-54.3
230,-37.74,-53.75
231,-37.78,-53.78
232,-38.02,-54.15
233,-38.03,-54.07
234,-38.15,-54.11
235,-39.8,-54.93
236,-38.18,-54.47
237,-38.2,-54.47
238,-38.2,-54.47
239,-38.27,-54.52
240,-38.22,-54.48
241,-38.52,-54.02
242,-38.66,-54.21
243,-37.92,-54.23
244,-37.87,-54.24
245,-37.88,-54.24
246,-39.53,-54.65
247,-39.59,-54.8
248,-39.85,-55.17
249,-39.87,-55.23
250,-37.91,-54.23
251,-37.85,-54.22
252,-37.92,-54.19
253,-39.93,-55
254,-39.84,-55.18
255,-39.73,-55.8
256,-39.75,-55.8
257,-39.73,-55.78
258,-39.75,-55.78
259,-39.75,-55.77
260,-39.77,-55.73
261,-38.02,-54.14
262,-37.95,-54.18
263,-39.8,-55.7
264,-39.78,-55.68
265,-39.2,-54.39
266,-39.12,-54.35
267,-39.4,-54.51
268,-39.39,-54.6
269,-39.9,-55.29
270,-39.93,-55.3
271,-39.87,-55.22
272,-39.99,-55.12
273,-39.72,-56.65
274,-39.98,-56.4
275,-39.92,-56.03
276,-37.68,-54.8
277,-37.75,-54.67
278,-37.82,-54.73
279,-37.83,-54.63
280,-37.87,-54.67
281,-37.87,-54.62
282,-37.88,-54.62
283,-37.93,-54.58
284,-38.48,-57.45
285,-38.55,-57.52
286,-38.62,-57.72
287,-38.4,-57.18
288,-38.42,-57.32
289,-38.48,-57.45
290,-38.48,-57.47
291,-38.2,-56.95
292,-38.08,-56.82
293,-38.03,-56.75
294,-37.98,-56.68
295,-37.97,-56.73
296,-38.08,-56.78
297,-38.17,-56.88
298,-38.28,-57.1
299,-38.57,-57.53
300,-38.48,-57.4
301,-38.52,-57.48
302,-38.73,-57.92
303,-38.73,-57.92
304,-39.35,-58.33
305,-39.45,-58.68
306,-39.42,-58.32
307,-38.63,-57.72
308,-39.33,-58.42
309,-39.32,-58.82
310,-39.32,-58.57
311,-39.35,-58.83
312,-38.72,-57.88
313,-39.3,-58.82
314,-39.32,-58.83
315,-39.3,-58.97
316,-39.03,-58.45
317,-39.33,-58.87
318,-39.32,-58.55
319,-39.3,-58.85
320,-39.33,-58.55
321,-39.03,-58.38
322,-39.3,-58.57
323,-39.18,-58.77
324,-39.38,-58.6
325,-39.05,-58.38
326,-39.1,-58.4
327,-39.4,-58.3
328,-39.4,-58.23
329,-39.42,-58.3
330,-38.82,-58.13
331,-38.43,-57.38
332,-38.43,-57.38
333,-38.25,-57.05
334,-38.22,-57.05
