"latitud","longitud"
-39.56,-58.74
-39.33,-59.13
-39.45,-59.35
-39.52,-59.45
-39.39,-54.51
-39.35,-54.48
-39.33,-54.39
-39.28,-54.4
-39.4,-54.53
-39.39,-54.52
-39.43,-54.55
-39.45,-54.52
-39.4,-54.52
-39.39,-54.52
-39.46,-54.62
-39.53,-54.07
-39.48,-54.6
-39.39,-54.52
-39.4,-54.51
-39.45,-54.52
-39.38,-54.52
-39.33,-54.51
-37.08,-53.52
-39.44,-54.55
-39.39,-54.51
-39.33,-54.5
-39.27,-54.47
-39.49,-54.56
-39.39,-54.53
-39.39,-54.51
-39.33,-54.51
-39.27,-54.45
-39.24,-54.41
-39.42,-54.58
-39.39,-54.52
-39.46,-54.51
-39.31,-54.5
-39.33,-54.51
-39.28,-54.48
-39.41,-54.57
-39.39,-54.52
-39.4,-54.51
-39.32,-54.51
-39.31,-54.51
-39.36,-54.56
-39.41,-54.56
-39.39,-54.51
-39.39,-54.51
-39.31,-54.51
-39.31,-54.51
-39.42,-54.57
-39.41,-54.54
-39.39,-54.51
-39.39,-54.5
-39.31,-54.49
-39.36,-54.51
-39.44,-54.5
-39.42,-54.57
-39.39,-54.51
-39.56,-54.5
-39.39,-54.49
-39.52,-54.68
-39.53,-54.67
-39.53,-54.65
-39.51,-54.69
-39.5,-54.7
-39.5,-54.72
-39.48,-54.74
-39.51,-54.66
-38.47,-53.95
-38.42,-53.97
-38.77,-53.93
-38.3,-53.92
-38.25,-53.91
-38.21,-53.88
-38,-53.99
-38,-54
-38.05,-53.89
-37.9,-53.95
-37.99,-53.97
-37.99,-54
-37.99,-53.99
-38.04,-53.89
-39.78,-54.95
-37.99,-54
-39.98,-55.23
-38,-53.99
-37.99,-53.95
-37.21,-53.42
-37.21,-53.45
-37.19,-53.59
-37.19,-53.6
-37.19,-53.63
-37.21,-53.41
-37.22,-53.45
-37.27,-53.39
-37.21,-53.41
-37.22,-53.44
-37.26,-53.42
-39.92,-55.26
-37.28,-53.39
-37.22,-53.45
-37.21,-53.41
-37.25,-53.43
-37.27,-53.42
-39.56,-54.75
-39.45,-54.55
-37.21,-53.45
-37.24,-53.44
-37.21,-53.39
-37.21,-53.47
-39.01,-54.14
-38.9,-54.17
-39.97,-54.94
-38.28,-53.94
-39.85,-55.24
-39.86,-54.94
-39.75,-54.93
-39.32,-54.66
-39.35,-54.54
-39.33,-54.57
-39.4,-54.5
-37.14,-53.57
-37.11,-53.5
-39.23,-55.07
-39.23,-55.07
-39.22,-55.08
-39.22,-55.1
-39.22,-55.12
-39.22,-55.13
-39.22,-55.17
-39.2,-55.17
-39.27,-55.38
-39.28,-55.4
-39.12,-55.3
-37.16,-53.45
-37.08,-53.49
-37.24,-53.44
-37.05,-53.51
-39.9,-54.99
-39.32,-54.48
-39.3,-54.57
-39.38,-54.58
-39.35,-54.5
-39.32,-54.47
-37.09,-53.5
-37.04,-53.55
-37.1,-53.48
-39.92,-55.01
-39.4,-54.5
-39.4,-54.48
-39.38,-54.57
-39.37,-54.53
-39.48,-54.45
-39.32,-54.48
-39.28,-54.45
-39.38,-54.52
-39.4,-54.5
-37.04,-53.51
-37.16,-53.42
-37.07,-53.49
-39.88,-55.02
-39.38,-54.5
-39.38,-54.5
-39.2,-54.37
-39.13,-54.3
-39.17,-54.32
-37,-53.51
-37.09,-53.55
-39.38,-54.5
-39.4,-54.5
-39.03,-54.3
-39.13,-54.27
-39.08,-54.3
-39.2,-54.33
-37.3,-53.46
-37.38,-53.44
-37.38,-53.51
-37.62,-53.7
-37.62,-53.68
-37.63,-53.67
-37.63,-53.65
-37.58,-53.6
-37.6,-53.7
-39.2,-54.37
-37.43,-53.52
-37.29,-53.46
-37.18,-53.6
-37.18,-53.58
-37.2,-53.57
-37.2,-53.52
-37.2,-53.48
-37.49,-53.58
-39.44,-54.77
-39.35,-54.64
-37.6,-53.72
-37.6,-53.7
-37.62,-53.68
-37.62,-53.67
-37.63,-53.65
-37.58,-53.6
-37.62,-53.7
-37.48,-53.57
-37.42,-53.51
-37.35,-53.48
-39.47,-54.62
-37.63,-53.68
-37.63,-53.63
-37.62,-53.68
-37.63,-53.67
-38.62,-54.13
-38.2,-53.98
-37.87,-54.32
-37.85,-54.32
-37.83,-54.33
-37.8,-54.33
-37.78,-54.35
-37.78,-54.37
-37.88,-54.3
-37.58,-53.62
-37.62,-53.7
-38.03,-54.16
-38.02,-54.16
-37.88,-53.93
-37.88,-54.28
-37.87,-54.2
-37.87,-54.18
-37.9,-54.32
-37.87,-54.3
-37.74,-53.75
-37.78,-53.78
-38.02,-54.15
-38.03,-54.07
-38.15,-54.11
-39.8,-54.93
-38.18,-54.47
-38.2,-54.47
-38.2,-54.47
-38.27,-54.52
-38.22,-54.48
-38.52,-54.02
-38.66,-54.21
-37.92,-54.23
-37.87,-54.24
-37.88,-54.24
-39.53,-54.65
-39.59,-54.8
-39.85,-55.17
-39.87,-55.23
-37.91,-54.23
-37.85,-54.22
-37.92,-54.19
-39.93,-55
-39.84,-55.18
-39.73,-55.8
-39.75,-55.8
-39.73,-55.78
-39.75,-55.78
-39.75,-55.77
-39.77,-55.73
-38.02,-54.14
-37.95,-54.18
-39.8,-55.7
-39.78,-55.68
-39.2,-54.39
-39.12,-54.35
-39.4,-54.51
-39.39,-54.6
-39.9,-55.29
-39.93,-55.3
-39.87,-55.22
-39.99,-55.12
-39.72,-56.65
-39.98,-56.4
-39.92,-56.03
-37.68,-54.8
-37.75,-54.67
-37.82,-54.73
-37.83,-54.63
-37.87,-54.67
-37.87,-54.62
-37.88,-54.62
-37.93,-54.58
-38.48,-57.45
-38.55,-57.52
-38.62,-57.72
-38.4,-57.18
-38.42,-57.32
-38.48,-57.45
-38.48,-57.47
-38.2,-56.95
-38.08,-56.82
-38.03,-56.75
-37.98,-56.68
-37.97,-56.73
-38.08,-56.78
-38.17,-56.88
-38.28,-57.1
-38.57,-57.53
-38.48,-57.4
-38.52,-57.48
-38.73,-57.92
-38.73,-57.92
-39.35,-58.33
-39.45,-58.68
-39.42,-58.32
-38.63,-57.72
-39.33,-58.42
-39.32,-58.82
-39.32,-58.57
-39.35,-58.83
-38.72,-57.88
-39.3,-58.82
-39.32,-58.83
-39.3,-58.97
-39.03,-58.45
-39.33,-58.87
-39.32,-58.55
-38.3,-58.85
-39.33,-58.55
-39.03,-58.38
-39.3,-58.57
-39.18,-58.77
-39.38,-58.6
-39.05,-58.38
-39.1,-58.4
-39.4,-58.3
-39.4,-58.23
-39.42,-58.3
-38.82,-58.13
-38.43,-57.38
-38.43,-57.38
-38.25,-57.05
-38.22,-57.05
-38.52,-57.58
-38.22,-57.03
-37.95,-56.72
-37.93,-56.72
-38.07,-56.8
-38.15,-56.88
-38.17,-56.88
-38.23,-57.07
-38.43,-57.42
-38.63,-57.77
-38.6,-57.68
-38.6,-57.77
-38.53,-57.52
-39.65,-57.73
-38.72,-57.9
-38.53,-57.48
-38.57,-57.37
-38.33,-57.2
-38.22,-57.02
-38.28,-57.08
-38.53,-57.38
-38.47,-57.45
-38.45,-57.43
-39.92,-59.26
-39.66,-59.17
-39.55,-58.96
-39.68,-59.13
-38.42,-57.37
-38.7,-57.77
-38.68,-47.77
-38.67,-57.73
-38.43,-57.32
-38.65,-57.58
-38.75,-57.82
-38.73,-57.72
-38.48,-57.32
-38.73,-57.75
-38.73,-57.75
-38.92,-58.12
-39.02,-58.27
-39.08,-58.35
-39.08,-58.35
-39.37,-59.28
-39.43,-59.32
-39.42,-59.32
-39.32,-57.2
-39.35,-59.25
-39.37,-59.3
-39.65,-59.47
-38.95,-58.23
-38.78,-58.17
-36.63,-53.4
-36.63,-53.35
-38.82,-58.15
-38.78,-58.12
-36.65,-53.4
-36.67,-53.27
-36.82,-53.28
-36.82,-53.3
-38.8,-53.3
-36.68,-53.17
-38.77,-58.15
-36.68,-53.27
-36.77,-53.82
-36.8,-53.9
-36.8,-53.8
-36.8,-53.53
-36.82,-53.4
-39,-58.45
-36.83,-53.43
-36.8,-53.32
-39.05,-58.48
-37.12,-53.52
-37.15,-53.5
-37.22,-53.35
-37.23,-53.35
-37.17,-53.38
